/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 "/Users/cgerty/Dropbox/Gerty Inter-Dropbox Transfer/Python_Code/python3/AoC_D4-2.py"
projectilebunnydepartment 977
projectileeggpurchasing 289
rampagingcandydesign 351
internationaldyepurchasing 670
biohazardouscandycoatingmanagement 126
projectilecandyshipping 532
consumergradescavengerhuntacquisition 538
topsecretrabbitstorage 599
internationalcandyreacquisition 633
magneticeggpurchasing 922
consumergradejellybeanmanagement 571
topsecretcandycoatingservices 792
magneticbunnylaboratory 649
radioactivecandymanagement 369
cryogeniccandycoatingdepartment 755
consumergradejellybeandesign 199
projectilecandycoatinglogistics 627
colorfulplasticgrassmanagement 904
classifiedbasketreacquisition 729
weaponizedscavengerhunttechnology 457
classifiedjellybeanworkshop 366
cryogenicchocolatepurchasing 772
fuzzyrampagingchocolatecontainment 628
consumergradechocolateresearch 574
militarygradeflowermarketing 994
militarygradecandyservices 771
fuzzyeggusertesting 393
militarygradebasketanalysis 607
corrosivecandyresearch 781
topsecretjellybeanstorage 779
radioactiveplasticgrassstorage 826
projectiletopsecretbunnycontainment 342
corrosivejellybeanlaboratory 246
corrosivebunnyresearch 727
weaponizedcandyoperations 391
radioactivescavengerhuntdevelopment 824
radioactivebunnymanagement 181
radioactiveeggacquisition 665
projectilebunnylaboratory 894
biohazardousconsumergraderabbitoperations 299
cryogenicegglogistics 291
classifiedjellybeandevelopment 739
consumergradebasketstorage 261
projectilescavengerhuntacquisition 184
topsecretchocolateworkshop 331
militarygradeprojectileeggusertesting 944
colorfulcorrosivecandycontainment 644
magneticeggengineering 179
magneticrabbittechnology 997
classifiedrabbitmanagement 120
radioactivescavengerhuntmarketing 829
biohazardousplasticgrassshipping 370
weaponizedclassifiedjellybeanresearch 217
consumergraderabbitdesign 744
colorfulscavengerhuntlogistics 887
magneticcandycoatingcontainment 377
cryogenicfloweracquisition 921
corrosiveplasticgrassreacquisition 663
fuzzycandycoatinglaboratory 290
corrosivecandycoatinganalysis 785
biohazardousbasketcustomerservice 919
weaponizedchocolatereceiving 574
magneticcandycoatingacquisition 299
militarygradedyepurchasing 110
militarygradebiohazardouscandycoatinganalysis 170
cryogenicbunnymanagement 792
internationalcandycoatingreacquisition 667
magneticeggtraining 466
radioactivecandycoatingtraining 945
colorfulbunnyoperations 125
internationalcandyusertesting 584
fuzzyfloweracquisition 478
rampagingunstabledyeengineering 325
magneticbasketmarketing 180
radioactivebunnydevelopment 595
colorfulcandycoatingfinancing 657
cryogeniceggdesign 426
biohazardousbasketdepartment 979
militarygradecandyanalysis 869
classifiedscavengerhuntstorage 165
magneticscavengerhuntcontainment 540
unstablebunnycontainment 284
cryogeniccandytechnology 590
classifiedchocolatereacquisition 607
topsecretflowerdevelopment 440
consumergradedyereceiving 386
magneticflowersales 339
rampagingeggengineering 690
colorfuljellybeandeployment 925
internationalscavengerhuntreceiving 954
consumergradescavengerhuntlaboratory 420
biohazardousjellybeanshipping 830
cryogenicdyepurchasing 883
weaponizedcandycoatingacquisition 514
classifiedscavengerhuntengineering 226
magneticscavengerhuntdesign 652
colorfulcandycoatingdevelopment 715
internationalbasketsales 782
classifiedscavengerhuntpurchasing 242
consumergradefloweranalysis 477
weaponizedrabbitreacquisition 162
magneticegganalysis 926
colorfuljellybeananalysis 815
biohazardousplasticgrassanalysis 845
weaponizedcandydevelopment 436
corrosiveplasticgrassreceiving 267
consumergradeflowerworkshop 898
cryogenicchocolatedeployment 143
projectileeggstorage 150
magneticflowertechnology 847
projectilerabbitreceiving 661
colorfulconsumergradebasketdesign 979
rampagingjellybeandepartment 678
cryogeniccandycoatingreacquisition 791
magneticflowerengineering 834
militarygradeflowerreacquisition 180
corrosivejellybeantraining 784
radioactivecandytraining 631
fuzzybasketfinancing 559
consumergradeeggusertesting 138
radioactivebasketreceiving 382
topsecreteggservices 414
colorfulrabbitmanagement 165
colorfulrabbitmarketing 368
corrosiveweaponizedrabbitlaboratory 887
projectilejellybeanworkshop 127
projectileeggreceiving 437
rampagingflowerdesign 824
militarygradebasketoperations 794
colorfulweaponizedbunnyusertesting 951
militarygradescavengerhuntoperations 814
magneticcandyshipping 888
